"n_rating_count","price","f_stars","f_ratingta","n_ratingta_count","hotel_id","n_distance","n_distance_alter","f_accommodation_type","n_rating","d_offer","d_scarce_room","f_city_actual","f_neighbourhood","f_offer_cat","flag_rating","flag_rating_count","flag_ratingta","flag_ratingta_count"
3,184,"2","4",1,21937,2.8,5.3,"Apartment",3.2,1,1,"Vienna","Favoriten","15-50% offer",0,0,1,1
1,127,"3","4",1,21938,2.9,5.2,"Apartment",1,1,1,"Vienna","Favoriten","15-50% offer",0,0,1,1
1,95,"3","4",1,21939,2.5,5.1,"Apartment",4,0,1,"Vienna","Favoriten","0% no offer",1,1,1,1
441,99,"3.5","4.5",630,21940,1.7,4.2,"Hotel",4.4,0,0,"Vienna","Favoriten","0% no offer",0,0,0,0
1122,75,"3.5","4.5",573,21941,1.7,4.1,"Hotel",4.4,1,0,"Vienna","Favoriten","15-50% offer",0,0,0,0
362,76,"3","4",269,21943,2.1,4.6,"Hotel",4.4,1,0,"Vienna","Favoriten","15-50% offer",0,0,0,0
2,130,"2","4",1,21945,2.5,5.1,"Apartment",3,1,1,"Vienna","Favoriten","15-50% offer",0,0,1,1
525,91,"4","4.5",741,21946,1.9,4.2,"Hotel",4.5,0,0,"Vienna","Favoriten","0% no offer",0,0,0,0
1,135,"2","4",1,21947,2.4,5,"Apartment",3,1,1,"Vienna","Favoriten","15-50% offer",0,0,1,1
113,56,"2","3",183,21948,2,4.5,"Hotel",2,0,1,"Vienna","Favoriten","0% no offer",0,0,0,0
71,27,"2","3.5",216,21949,2.7,5.1,"Hostel",3.7,0,1,"Vienna","Favoriten","0% no offer",0,0,0,0
1,88,"3","4",1,21950,2.3,4.6,"Apartment",3,1,1,"Vienna","Favoriten","1-15% offer",0,0,1,1
22,133,"2","4",1,21951,2.5,4.8,"Apartment",3.5,1,1,"Vienna","Favoriten","15-50% offer",0,0,1,1
366,33,"2","3.5",491,21956,1.8,4.3,"Hotel",3.4,0,0,"Vienna","Favoriten","0% no offer",0,0,0,0
1,116,"3.5","4",1,21958,2,4.4,"Apartment",4,0,0,"Vienna","Favoriten","0% no offer",1,1,1,1
821,71,"4","4",31,21959,1.7,4.2,"Hotel",4,1,0,"Vienna","Favoriten","1-15% offer",0,0,0,0
16,90,"3.5","4",1,21960,2.7,5.3,"Apartment",3.5,1,1,"Vienna","Favoriten","1-15% offer",0,0,1,1
23,84,"4","4",1,21962,1.9,4.3,"Apartment",4.1,1,1,"Vienna","Favoriten","15-50% offer",0,0,1,1
38,63,"3","4",1,21963,2.3,4.7,"Guest House",4.3,1,0,"Vienna","Favoriten","15-50% offer",0,0,1,1
366,59,"3","2.5",243,21964,13,13,"Hotel",3,1,0,"Fischamend","Fischamend","15-50% offer",0,0,0,0
77,113,"3","4",259,21965,0.2,2.9,"Hotel",4.4,1,0,"Vienna","Graben","15-50% offer",0,0,0,0
27,218,"4.5","4",1,21966,0.1,2.9,"Apartment",4.1,1,1,"Vienna","Graben","1-15% offer",0,0,1,1
144,299,"5","4.5",702,21967,0.1,2.8,"Hotel",4.5,1,1,"Vienna","Graben","50%-75% offer",0,0,0,0
184,156,"3","4.5",1347,21968,0.3,2.6,"Hotel",4.5,1,1,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
78,513,"5","5",1126,21969,0.3,2.8,"Hotel",4.8,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
319,133,"4","4",466,21970,0.3,2.6,"Hotel",4.3,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
73,123,"4","3.5",47,21971,0.5,3.1,"Hotel",4.1,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
81,219,"4","4.5",392,21972,0.3,3,"Hotel",4.5,1,1,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
271,152,"4","4",261,21973,0.3,3,"Hotel",4.3,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
211,115,"4","4.5",211,21975,0.1,2.7,"Hotel",4.3,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
5,806,"5","4.5",114,21976,0.3,2.8,"Hotel",4.5,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
316,138,"4","4.5",463,21977,0.2,2.6,"Hotel",4.5,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
28,95,"3","4",1,21979,0.4,2.5,"Apartment",3.7,0,1,"Vienna","Innere Stadt","0% no offer",0,0,1,1
336,146,"4","4",714,21980,0.1,2.9,"Hotel",4.4,0,0,"Vienna","Innere Stadt","0% no offer",0,0,0,0
83,103,"3","4",159,21981,0.7,3.1,"Pension",4,0,0,"Vienna","Innere Stadt","0% no offer",0,0,0,0
1,125,"3.5","4",1,21983,0.5,3.3,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
88,98,"3","3.5",66,21984,0.5,2.6,"Hotel",3.7,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
140,121,"3.5","4.5",557,21985,0.3,2.5,"Hotel",4.5,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
391,149,"4","4",1516,21986,0.2,2.6,"Hotel",4,1,0,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
320,120,"3","3.5",515,21987,0.3,2.5,"Hotel",3.9,1,0,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
21,157,"3","4.5",146,21988,0.4,2.9,"Hotel",4.4,1,1,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
193,261,"5","5",945,21989,0.3,3.1,"Hotel",4.8,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
75,145,"3.5","4",48,21990,0.7,3.4,"Apartment",4.1,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
35,275,"4","4",16,21991,0.2,2.6,"Apartment",4.3,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
1,253,"3.5","4",1,21992,0.2,2.9,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
1,209,"4","4",1,21993,0.2,2.9,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
505,112,"4","4",607,21995,0.2,2.9,"Hotel",4,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
386,138,"4","4",273,21996,0.3,2.5,"Hotel",4.3,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
109,84,"3","4",171,21997,0.4,2.6,"Pension",4,1,1,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
626,199,"4.5","4.5",3171,21998,0.3,2.9,"Hotel",4.5,1,0,"Vienna","Innere Stadt","50%-75% offer",0,0,0,0
334,203,"5","4.5",917,21999,0.3,2.9,"Hotel",4.4,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
1,116,"3","3",4,22001,0.2,2.7,"Vacation home Condo",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,0,0
1,107,"3.5","4",1,22002,0.2,2.7,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
1,127,"3.5","4",1,22003,0.2,2.7,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
1,104,"3.5","4",1,22004,0.2,2.7,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
11,168,"3.5","3.5",4,22005,0.2,2.6,"Apartment",4,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
150,544,"5","4.5",1178,22006,0.5,3.2,"Hotel",4.8,0,0,"Vienna","Innere Stadt","0% no offer",0,0,0,0
531,252,"5","4.5",1050,22007,0.5,3.2,"Hotel",4.6,1,0,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
253,323,"5","4.5",1168,22008,0.5,3.2,"Hotel",4.5,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
47,158,"3","4",232,22009,0.3,3.1,"Hotel",4.3,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
19,156,"3.5","4",1,22010,0.2,2.7,"Apartment",4,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,1,1
124,218,"4","5",1112,22011,0.2,2.6,"Hotel",4.6,1,1,"Vienna","Innere Stadt","50%-75% offer",0,0,0,0
115,218,"4","4.5",475,22012,0.1,2.7,"Hotel",4.5,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
110,135,"3","3.5",162,22013,0.3,2.6,"Hotel",3.9,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
16,219,"2","4",1,22014,0.6,2.6,"Apartment",4,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,1,1
467,179,"4","4.5",423,22016,0.5,3.3,"Hotel",4.4,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
1,511,"3.5","4",1,22017,0.5,3.3,"Apartment",4,1,1,"Vienna","Innere Stadt","1-15% offer",1,1,1,1
650,157,"4","4.5",1380,22018,0.7,3.5,"Hotel",4.5,1,0,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
95,146,"4","4.5",770,22019,0.3,2.8,"Hotel",4.5,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
564,200,"5","4",1850,22020,0.4,2.9,"Hotel",4.3,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
168,157,"4","4",392,22021,0.1,2.8,"Hotel",4.1,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
1,138,"4","4",1,22022,0.3,2.6,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
175,108,"3","3.5",234,22023,0.3,2.5,"Hotel",3.5,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
1,290,"3.5","4",1,22025,0.2,2.6,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
426,127,"4","4",840,22026,0.8,3.1,"Hotel",4,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
1,114,"3","4",1,22027,0.7,3,"Guest House",3,0,1,"Vienna","Innere Stadt","0% no offer",0,0,1,1
148,163,"4","4",388,22028,0.4,2.7,"Hotel",4.1,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
163,116,"4","4.5",212,22029,0.2,2.8,"Apart-hotel",4.5,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
493,226,"5","4.5",2985,22030,0.5,3.3,"Hotel",4.3,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
56,231,"4","4.5",282,22031,0.1,2.7,"Hotel",4.4,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
247,116,"4","4.5",1274,22032,0.4,2.6,"Hotel",4.4,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
169,76,"3","4",167,22033,0.4,2.6,"Guest House",3.7,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
1,135,"3.5","4",1,22034,0.3,2.6,"Apartment",1,0,1,"Vienna","Innere Stadt","0% no offer",0,0,1,1
599,184,"5","4.5",1330,22035,0.6,2.7,"Hotel",4.5,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
258,384,"5","5",1207,22036,0.6,2.5,"Hotel",4.8,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
703,166,"4","4",1592,22037,0.6,2.8,"Hotel",4.3,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
230,187,"5","4",468,22038,0.5,3.1,"Hotel",4.1,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
112,371,"5","4.5",1319,22039,0.5,3.1,"Hotel",4.6,1,0,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
278,156,"4","4.5",272,22040,0.1,2.7,"Pension",4.4,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
1,220,"3.5","4",1,22041,0.3,2.5,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
81,169,"4","4.5",561,22042,0.3,2.5,"Hotel",4.5,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
1,103,"3","4",1,22043,0.3,2.7,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
15,266,"5","4",1,22044,0.3,2.6,"Apartment",4.5,0,1,"Vienna","Innere Stadt","0% no offer",0,0,1,1
203,131,"3","4",338,22045,0.1,2.9,"Pension",3.9,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
150,168,"4","4.5",154,22046,0.2,2.8,"Apartment",4.6,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
1,101,"3","4",1,22047,0.2,2.6,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
1,364,"3.5","4",1,22049,0.2,3,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
404,242,"4","4.5",2165,22050,0.1,2.8,"Hotel",4.8,1,0,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
123,223,"4","3.5",276,22051,0.5,2.4,"Hotel",3.5,0,1,"Vienna","Innere Stadt","0% no offer",0,0,0,0
653,149,"4","4.5",930,22052,0.3,2.7,"Hotel",4.4,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
1,232,"3.5","4",1,22053,0.2,2.7,"Apartment",4,0,1,"Vienna","Innere Stadt","0% no offer",1,1,1,1
388,114,"4","4",836,22054,0.5,2.3,"Hotel",4,1,0,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
1,253,"3.5","4",1,22055,0.1,2.8,"Apartment",2,0,1,"Vienna","Innere Stadt","0% no offer",0,0,1,1
230,163,"4","4.5",203,22057,0.3,2.6,"Apart-hotel",4.4,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
69,116,"3","4.5",774,22059,0.4,3.1,"Pension",4.1,1,1,"Vienna","Innere Stadt","15-50% offer",0,0,0,0
34,139,"4","3.5",54,22061,0.2,2.9,"Hotel",3.5,1,1,"Vienna","Innere Stadt","1-15% offer",0,0,0,0
6,91,"3.5","4",1,22063,0.2,2.7,"Apartment",3.2,0,1,"Vienna","Innere Stadt","0% no offer",0,0,1,1
102,79,"3","3.5",127,22064,1.4,3.6,"Hotel",3.5,1,1,"Vienna","Josefstadt","1-15% offer",0,0,0,0
65,66,"4","3.5",85,22065,1.1,3.2,"Pension",3.7,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
9,100,"3","4",17,22066,1.1,3.2,"Apartment",3,1,1,"Vienna","Josefstadt","1-15% offer",0,0,0,0
11,75,"2.5","3.5",33,22067,1.3,3.4,"Pension",3,1,1,"Vienna","Josefstadt","1-15% offer",0,0,0,0
51,73,"2","3",87,22068,1.2,3.3,"Pension",3.5,0,1,"Vienna","Josefstadt","0% no offer",0,0,0,0
298,127,"5","4",876,22069,0.8,3.4,"Hotel",4.1,1,1,"Vienna","Josefstadt","1-15% offer",0,0,0,0
354,110,"3","4",419,22071,0.9,3.4,"Hotel",4.1,1,0,"Vienna","Josefstadt","15-50% offer",0,0,0,0
92,88,"3","4",509,22072,0.9,3.3,"Hotel",4.4,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
66,59,"3","4",88,22073,1.2,3.5,"Pension",3.7,1,0,"Vienna","Josefstadt","15-50% offer",0,0,0,0
1,355,"4","4",1,22074,1.6,3.8,"Apartment",4,0,1,"Vienna","Josefstadt","0% no offer",1,1,1,1
128,59,"3","4",967,22075,1.6,3.7,"Hotel",3.9,1,1,"Vienna","Josefstadt","50%-75% offer",0,0,0,0
530,119,"4","4",1358,22076,0.9,3.4,"Hotel",4,1,0,"Vienna","Josefstadt","1-15% offer",0,0,0,0
342,152,"4","4",1461,22077,0.9,3.4,"Hotel",4.3,1,0,"Vienna","Josefstadt","1-15% offer",0,0,0,0
194,102,"4","4",346,22078,1,3.4,"Hotel",4,1,0,"Vienna","Josefstadt","1-15% offer",0,0,0,0
1,363,"3.5","4",1,22079,1.5,3.5,"Apartment",5,1,1,"Vienna","Josefstadt","1-15% offer",0,0,1,1
63,54,"3","3",85,22080,1.1,3.4,"Hotel",3.2,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
67,101,"3","4",44,22081,1.1,3.3,"Apartment",4,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
84,75,"2","4.5",304,22082,0.9,3.5,"Hotel",4,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
30,73,"2","4",103,22083,0.9,3.5,"Hotel",3.9,1,1,"Vienna","Josefstadt","1-15% offer",0,0,0,0
169,94,"3","4",452,22084,1,3.4,"Hotel",4.1,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
65,64,"4","4",251,22085,1.1,3.3,"Pension",3.5,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
91,81,"3.5","3.5",260,22086,1,3.3,"Apart-hotel",3.7,1,0,"Vienna","Josefstadt","15-50% offer",0,0,0,0
1,162,"3","4",1,22087,1.6,4,"Apartment",4,1,1,"Vienna","Josefstadt","15-50% offer",0,0,1,1
765,115,"4","4.5",2150,22088,0.9,3.5,"Hotel",4.5,1,0,"Vienna","Josefstadt","15-50% offer",0,0,0,0
80,101,"4","4.5",90,22089,1.2,3.8,"Apartment",4.4,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
43,68,"3","3.5",182,22090,0.9,3.2,"Hotel",3.7,1,1,"Vienna","Josefstadt","15-50% offer",0,0,0,0
78,354,"5","4.5",1504,22092,0.4,3.2,"Hotel",4.5,1,0,"Vienna","Kaerntner Strasse","1-15% offer",0,0,0,0
184,153,"4","4",700,22093,0.2,3,"Hotel",4.1,1,1,"Vienna","Kaerntner Strasse","15-50% offer",0,0,0,0
276,202,"5","4",615,22094,0.2,3,"Hotel",4.3,1,1,"Vienna","Kaerntner Strasse","15-50% offer",0,0,0,0
313,169,"4","4",760,22095,0.3,3.1,"Hotel",4.1,1,1,"Vienna","Kaerntner Strasse","1-15% offer",0,0,0,0
323,182,"4","4.5",327,22097,0.5,3.3,"Hotel",4.5,1,0,"Vienna","Kaerntner Strasse","1-15% offer",0,0,0,0
1,193,"3","4",1,22098,0.1,2.9,"Apartment",4,0,1,"Vienna","Kaerntner Strasse","0% no offer",1,1,1,1
90,138,"4","4.5",408,22099,0.2,3,"Pension",4.1,1,1,"Vienna","Kaerntner Strasse","1-15% offer",0,0,0,0
140,527,"5","5",1748,22100,0.4,3.1,"Hotel",4.8,1,1,"Vienna","Kaerntner Strasse","1-15% offer",0,0,0,0
512,142,"4","4",837,22101,0.1,2.8,"Hotel",4.4,1,0,"Vienna","Kaerntner Strasse","15-50% offer",0,0,0,0
1,98,"3.5","4",1,22102,0.4,3.1,"Apartment",4,0,1,"Vienna","Kaerntner Strasse","0% no offer",1,1,1,1
340,110,"4","4.5",2718,22104,0.6,3.2,"Hotel",4.3,1,0,"Vienna","Landstrasse","1-15% offer",0,0,0,0
34,82,"3.5","4",25,22107,1.9,3.2,"Apartment",4.1,1,1,"Vienna","Landstrasse","15-50% offer",0,0,0,0
26,91,"3.5","4",1,22108,0.9,2.4,"Apartment",2.5,1,1,"Vienna","Landstrasse","15-50% offer",0,0,1,1
1,150,"3.5","4",1,22109,1.6,3,"Apartment",4,0,1,"Vienna","Landstrasse","0% no offer",1,1,1,1
97,83,"3.5","4.5",35,22110,1.7,3,"Apartment",4.4,1,1,"Vienna","Landstrasse","15-50% offer",0,0,0,0
11,95,"4.5","4",1,22111,1.8,3.1,"Apartment",4,1,1,"Vienna","Landstrasse","15-50% offer",0,0,1,1
15,131,"3","4",1,22112,1.4,2.8,"Apartment",3.7,1,0,"Vienna","Landstrasse","15-50% offer",0,0,1,1
84,162,"4","5",610,22113,1.1,2.8,"Bed and breakfast",4.8,1,1,"Vienna","Landstrasse","15-50% offer",0,0,0,0
152,177,"5","4",2015,22114,0.5,3,"Hotel",4.3,1,0,"Vienna","Landstrasse","50%-75% offer",0,0,0,0
3,122,"2","4",1,22115,1.5,3.6,"Apartment",4,1,1,"Vienna","Landstrasse","1-15% offer",0,0,1,1
25,79,"3","4",1,22116,1.6,3.7,"Apartment",2,0,1,"Vienna","Landstrasse","0% no offer",0,0,1,1
181,82,"4","4",395,22117,1.4,3.1,"Hotel",4,1,0,"Vienna","Landstrasse","15-50% offer",0,0,0,0
359,82,"4","4",717,22118,1.7,3.3,"Hotel",4.1,1,1,"Vienna","Landstrasse","1-15% offer",0,0,0,0
160,66,"3","3.5",203,22119,1.8,3.4,"Hotel",3.9,1,0,"Vienna","Landstrasse","15-50% offer",0,0,0,0
303,169,"4","4",1208,22120,0.8,2.7,"Hotel",4.1,0,0,"Vienna","Landstrasse","0% no offer",0,0,0,0
254,59,"3","3.5",189,22122,0.8,2.7,"Guest House",3.7,0,1,"Vienna","Landstrasse","0% no offer",0,0,0,0
173,109,"4","4",666,22123,1.5,3.8,"Hotel",4.1,0,0,"Vienna","Landstrasse","0% no offer",0,0,0,0
114,104,"3","3",72,22125,0.7,2.6,"Hotel",3.4,0,1,"Vienna","Landstrasse","0% no offer",0,0,0,0
249,145,"3.5","4.5",730,22126,0.9,2.5,"Hotel",4.3,1,0,"Vienna","Landstrasse","15-50% offer",0,0,0,0
1,58,"3.5","4",1,22127,1.4,3.6,"Apartment",2,0,1,"Vienna","Landstrasse","0% no offer",0,0,1,1
6,107,"4","4",1,22129,1.3,3.4,"Vacation home Condo",4.3,1,1,"Vienna","Landstrasse","15-50% offer",0,0,1,1
13,85,"3","3.5",183,22130,0.8,2.1,"Hotel",3.5,1,1,"Vienna","Landstrasse","50%-75% offer",0,0,0,0
18,184,"4","4",5,22131,0.7,2.2,"Apartment",4.5,1,1,"Vienna","Landstrasse","1-15% offer",0,0,0,0
497,137,"4.5","4",1060,22132,1,3.3,"Hotel",4.1,1,0,"Vienna","Landstrasse","15-50% offer",0,0,0,0
503,116,"4.5","4.5",1591,22134,1.1,3.3,"Hotel",4.5,1,0,"Vienna","Landstrasse","1-15% offer",0,0,0,0
70,157,"2","3.5",52,22135,1.1,3.3,"Apartment",3.7,1,0,"Vienna","Landstrasse","15-50% offer",0,0,0,0
109,110,"3","3.5",529,22136,1.3,3.3,"Hotel",3.7,0,1,"Vienna","Landstrasse","0% no offer",0,0,0,0
171,134,"4","4.5",343,22138,0.6,3,"Hotel",4.3,1,1,"Vienna","Landstrasse","15-50% offer",0,0,0,0
79,79,"4","3.5",77,22140,1.3,3.3,"Hotel",3.7,0,1,"Vienna","Landstrasse","0% no offer",0,0,0,0
13,143,"3","4",1,22141,1.4,3.3,"Apartment",4.5,0,1,"Vienna","Landstrasse","0% no offer",0,0,1,1
281,132,"4","4",1403,22142,1,3.2,"Hotel",4.1,1,0,"Vienna","Landstrasse","15-50% offer",0,0,0,0
108,68,"4","4",162,22143,1.3,3.5,"Apartment",4,1,1,"Vienna","Landstrasse","50%-75% offer",0,0,0,0
267,128,"4","4",1437,22144,0.6,2.3,"Hotel",4.1,1,0,"Vienna","Leopoldstadt","15-50% offer",0,0,0,0
183,99,"3","4.5",491,22145,1.5,1.6,"Hotel",4.5,0,0,"Vienna","Leopoldstadt","0% no offer",0,0,0,0
5,149,"2","4",1,22148,0.9,1.9,"Apartment",2.2,1,1,"Vienna","Leopoldstadt","15-50% offer",0,0,1,1
136,86,"4","3.5",326,22149,1.8,1,"Hotel",4,1,0,"Vienna","Leopoldstadt","50%-75% offer",0,0,0,0
11,155,"3","4",28,22150,1.9,1.4,"Apartment",4.1,0,0,"Vienna","Leopoldstadt","0% no offer",0,0,0,0
242,63,"3","3",183,22152,1,1.9,"Hotel",3.4,1,1,"Vienna","Leopoldstadt","1-15% offer",0,0,0,0
